Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent,Gender_b,Married_b,Location_b,Ownhome_b,Age_y,Age_m,Hist_m,Hist_h
Old,Female,Own,Single,Far,47500,0,High,6,755,1,0,0,1,0,0,0,1
Middle,Male,Rent,Single,Close,63600,0,High,6,1318,0,0,1,0,0,1,0,1
Young,Female,Rent,Single,Close,13500,0,Low,18,296,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,85600,1,High,18,2436,0,1,1,1,0,1,0,1
Middle,Female,Own,Single,Close,68400,0,High,12,1304,1,0,1,1,0,1,0,1
Young,Male,Own,Married,Close,30400,0,Low,6,495,0,1,1,1,1,0,0,0
Middle,Female,Rent,Single,Close,48100,0,Medium,12,782,1,0,1,0,0,1,1,0
Middle,Male,Own,Single,Close,68400,0,High,18,1155,0,0,1,1,0,1,0,1
Middle,Female,Own,Married,Close,51900,3,Low,6,158,1,1,1,1,0,1,0,0
Old,Male,Own,Married,Far,80700,0,NA,18,3034,0,1,0,1,0,0,0,0
Young,Male,Rent,Married,Close,43700,1,NA,12,927,0,1,1,0,1,0,0,0
Middle,Male,Own,Married,Far,111800,3,High,18,2065,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,44100,1,Medium,24,704,1,1,1,1,0,1,1,0
Middle,Male,Own,Married,Close,111400,0,High,12,2136,0,1,1,1,0,1,0,1
Old,Female,Own,Married,Far,110000,0,High,24,5564,1,1,0,1,0,0,0,1
Middle,Female,Own,Married,Far,83100,1,NA,12,2766,1,1,0,1,0,1,0,0
Old,Female,Own,Married,Close,82800,0,High,24,3010,1,1,1,1,0,0,0,1
Middle,Male,Own,Married,Close,90100,0,High,18,1956,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Close,38600,1,Low,18,542,0,0,1,0,0,1,0,0
Old,Female,Rent,Single,Far,14000,0,Low,12,410,1,0,0,0,0,0,0,0
Young,Female,Rent,Single,Far,14300,2,Low,6,194,1,0,0,0,1,0,0,0
Young,Male,Rent,Married,Close,49800,0,Medium,12,827,0,1,1,0,1,0,1,0
Old,Female,Rent,Married,Far,60200,0,High,18,2328,1,1,0,0,0,0,0,1
Young,Male,Rent,Married,Far,43500,1,Medium,12,808,0,1,0,0,1,0,1,0
Young,Female,Rent,Married,Close,41700,1,NA,6,521,1,1,1,0,1,0,0,0
Middle,Female,Own,Married,Close,92300,3,Low,18,655,1,1,1,1,0,1,0,0
Middle,Male,Own,Single,Close,62800,3,NA,6,707,0,0,1,1,0,1,0,0
Middle,Female,Rent,Married,Far,72900,0,High,18,2075,1,1,0,0,0,1,0,1
Middle,Female,Rent,Married,Close,66900,2,Medium,12,769,1,1,1,0,0,1,1,0
Young,Male,Rent,Single,Close,21700,1,NA,18,774,0,0,1,0,1,0,0,0
Old,Female,Rent,Married,Close,39700,0,Medium,12,573,1,1,1,0,0,0,1,0
Middle,Male,Rent,Married,Far,72200,1,High,12,2082,0,1,0,0,0,1,0,1
Middle,Female,Rent,Married,Close,87700,3,NA,24,2446,1,1,1,0,0,1,0,0
Middle,Male,Own,Married,Close,104100,0,High,24,2636,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Far,67700,0,High,12,2226,0,0,0,0,0,1,0,1
Middle,Female,Own,Single,Close,27000,2,Low,6,183,1,0,1,1,0,1,0,0
Middle,Female,Own,Single,Far,64100,2,High,24,1595,1,0,0,1,0,1,0,1
Middle,Male,Rent,Single,Close,47000,1,Medium,12,584,0,0,1,0,0,1,1,0
Old,Female,Own,Married,Close,41600,0,NA,18,982,1,1,1,1,0,0,0,0
Old,Female,Rent,Single,Close,20100,0,Low,24,576,1,0,1,0,0,0,0,0
Middle,Male,Own,Single,Close,64000,3,Low,12,410,0,0,1,1,0,1,0,0
Middle,Female,Own,Married,Far,96800,3,NA,24,3082,1,1,0,1,0,1,0,0
Middle,Male,Rent,Married,Close,76200,1,NA,24,2437,0,1,1,0,0,1,0,0
Old,Female,Rent,Married,Far,81500,0,High,18,3655,1,1,0,0,0,0,0,1
Middle,Female,Own,Single,Close,49600,1,Medium,12,844,1,0,1,1,0,1,1,0
Old,Female,Own,Married,Close,111500,0,High,18,2510,1,1,1,1,0,0,0,1
Middle,Male,Own,Married,Close,77700,0,NA,6,983,0,1,1,1,0,1,0,0
Young,Male,Own,Married,Close,58900,0,NA,18,1215,0,1,1,1,1,0,0,0
Middle,Male,Own,Married,Close,126500,2,High,18,2000,0,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,83300,1,High,24,2574,1,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,90500,1,High,6,1116,1,1,1,1,0,1,0,1
Middle,Female,Own,Married,Far,87200,0,High,18,3604,1,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,105300,1,NA,24,3360,1,1,1,1,0,1,0,0
Middle,Female,Own,Single,Far,56000,3,Medium,6,530,1,0,0,1,0,1,1,0
Middle,Female,Rent,Single,Close,46600,0,Medium,24,906,1,0,1,0,0,1,1,0
Old,Male,Rent,Married,Close,69800,0,High,24,2764,0,1,1,0,0,0,0,1
Middle,Male,Own,Single,Close,60300,0,High,24,1263,0,0,1,1,0,1,0,1
Young,Male,Rent,Married,Close,67800,0,High,12,1084,0,1,1,0,1,0,0,1
Middle,Male,Rent,Single,Close,42300,0,Medium,24,1051,0,0,1,0,0,1,1,0
Young,Female,Own,Married,Far,33700,0,NA,6,614,1,1,0,1,1,0,0,0
Middle,Male,Own,Single,Close,62700,2,Medium,12,704,0,0,1,1,0,1,1,0
Young,Female,Own,Single,Close,25900,2,NA,12,449,1,0,1,1,1,0,0,0
Young,Female,Own,Single,Close,15600,1,Low,6,136,1,0,1,1,1,0,0,0
Old,Female,Own,Single,Close,14600,0,Low,24,468,1,0,1,1,0,0,0,0
Old,Female,Own,Married,Close,62600,0,High,6,565,1,1,1,1,0,0,0,1
Young,Male,Rent,Married,Close,66700,0,NA,18,1310,0,1,1,0,1,0,0,0
Middle,Male,Own,Married,Far,72500,0,NA,24,2595,0,1,0,1,0,1,0,0
Young,Female,Rent,Single,Far,13200,0,NA,24,358,1,0,0,0,1,0,0,0
Middle,Female,Own,Single,Close,51300,0,Medium,24,1424,1,0,1,1,0,1,1,0
Middle,Male,Own,Single,Far,72300,0,High,24,4182,0,0,0,1,0,1,0,1
Young,Female,Rent,Single,Close,15600,0,NA,12,468,1,0,1,0,1,0,0,0
Middle,Female,Own,Married,Far,90400,1,High,18,2924,1,1,0,1,0,1,0,1
Middle,Male,Own,Single,Far,71500,0,NA,6,964,0,0,0,1,0,1,0,0
Young,Male,Rent,Single,Close,14400,0,NA,24,615,0,0,1,0,1,0,0,0
Young,Male,Rent,Single,Close,15000,3,Low,6,38,0,0,1,0,1,0,0,0
Middle,Male,Own,Single,Close,57600,1,NA,6,1006,0,0,1,1,0,1,0,0
Young,Female,Rent,Married,Close,60600,3,Low,12,307,1,1,1,0,1,0,0,0
Middle,Male,Own,Married,Far,84300,2,High,18,1648,0,1,0,1,0,1,0,1
Young,Female,Own,Single,Close,24400,1,Low,6,220,1,0,1,1,1,0,0,0
Young,Female,Rent,Single,Close,22100,2,Low,18,280,1,0,1,0,1,0,0,0
Middle,Male,Rent,Married,Far,48800,2,NA,12,1647,0,1,0,0,0,1,0,0
Middle,Female,Own,Married,Close,74700,1,Medium,6,704,1,1,1,1,0,1,1,0
Young,Female,Rent,Single,Far,32400,1,Medium,24,920,1,0,0,0,1,0,1,0
Old,Female,Own,Single,Close,11400,0,NA,6,258,1,0,1,1,0,0,0,0
Middle,Male,Own,Married,Close,127000,0,NA,12,1821,0,1,1,1,0,1,0,0
Middle,Male,Rent,Single,Close,47200,0,Medium,18,1587,0,0,1,0,0,1,1,0
Middle,Female,Own,Single,Close,48700,2,Low,12,528,1,0,1,1,0,1,0,0
Young,Male,Rent,Single,Far,20400,0,Medium,18,867,0,0,0,0,1,0,1,0
Middle,Male,Rent,Single,Close,39000,0,NA,6,643,0,0,1,0,0,1,0,0
Young,Female,Rent,Single,Close,12900,1,Low,6,107,1,0,1,0,1,0,0,0
Middle,Female,Rent,Married,Far,67300,1,High,18,1513,1,1,0,0,0,1,0,1
Old,Male,Own,Married,Close,134500,0,High,24,4558,0,1,1,1,0,0,0,1
Old,Male,Own,Married,Close,75500,0,High,6,741,0,1,1,1,0,0,0,1
Old,Female,Own,Married,Far,33600,2,Medium,12,805,1,1,0,1,0,0,1,0
Young,Female,Rent,Single,Close,16300,1,NA,12,470,1,0,1,0,1,0,0,0
Young,Male,Rent,Married,Close,27400,1,Low,6,278,0,1,1,0,1,0,0,0
Middle,Female,Own,Married,Close,110400,3,Low,24,1093,1,1,1,1,0,1,0,0
Young,Female,Rent,Single,Far,21100,1,Low,6,470,1,0,0,0,1,0,0,0
Middle,Male,Own,Married,Close,81200,0,High,24,1856,0,1,1,1,0,1,0,1
Middle,Male,Rent,Married,Far,87100,2,High,18,1688,0,1,0,0,0,1,0,1
Young,Female,Rent,Single,Far,21700,3,NA,24,708,1,0,0,0,1,0,0,0
Middle,Female,Rent,Single,Close,42200,0,NA,18,1753,1,0,1,0,0,1,0,0
Middle,Male,Rent,Single,Far,59000,0,High,24,3044,0,0,0,0,0,1,0,1
Middle,Female,Own,Single,Close,52700,2,Low,18,855,1,0,1,1,0,1,0,0
Young,Male,Own,Single,Close,20900,0,Low,24,550,0,0,1,1,1,0,0,0
Middle,Male,Own,Married,Far,90700,3,High,24,2265,0,1,0,1,0,1,0,1
Old,Female,Own,Married,Far,91800,0,NA,24,2452,1,1,0,1,0,0,0,0
Young,Female,Own,Single,Far,27900,0,Medium,18,1184,1,0,0,1,1,0,1,0
Old,Female,Own,Married,Close,70700,0,High,24,2150,1,1,1,1,0,0,0,1
Middle,Male,Own,Married,Close,79600,2,NA,6,1575,0,1,1,1,0,1,0,0
Middle,Male,Rent,Married,Close,96400,1,High,24,1822,0,1,1,0,0,1,0,1
Middle,Female,Own,Single,Close,46600,2,NA,18,1153,1,0,1,1,0,1,0,0
Old,Male,Own,Married,Close,106600,0,High,12,1877,0,1,1,1,0,0,0,1
Middle,Female,Rent,Married,Close,104900,3,Low,6,450,1,1,1,0,0,1,0,0
Old,Male,Rent,Single,Close,56300,0,Medium,6,873,0,0,1,0,0,0,1,0
Young,Female,Rent,Single,Close,14800,1,Low,6,209,1,0,1,0,1,0,0,0
Old,Male,Own,Married,Close,58300,0,Medium,24,1472,0,1,1,1,0,0,1,0
Middle,Male,Own,Single,Far,70200,0,High,12,1702,0,0,0,1,0,1,0,1
Old,Male,Own,Married,Far,59700,0,High,18,1857,0,1,0,1,0,0,0,1
Young,Male,Rent,Single,Close,25800,0,NA,6,451,0,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,12000,0,Low,24,344,1,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Far,51900,0,High,18,1492,0,0,0,0,0,1,0,1
Middle,Female,Own,Single,Far,66800,3,NA,24,2098,1,0,0,1,0,1,0,0
Middle,Male,Own,Married,Close,105300,1,NA,18,3505,0,1,1,1,0,1,0,0
Young,Female,Rent,Single,Far,13800,3,Low,6,127,1,0,0,0,1,0,0,0
Young,Male,Rent,Single,Close,14800,3,NA,12,436,0,0,1,0,1,0,0,0
Middle,Female,Own,Married,Far,44200,0,High,24,2524,1,1,0,1,0,1,0,1
Young,Male,Rent,Single,Close,10400,0,NA,18,189,0,0,1,0,1,0,0,0
Middle,Female,Own,Single,Close,35200,0,Medium,12,607,1,0,1,1,0,1,1,0
Young,Female,Rent,Single,Far,16100,0,NA,6,202,1,0,0,0,1,0,0,0
Middle,Male,Own,Married,Close,113000,2,Medium,18,1554,0,1,1,1,0,1,1,0
Middle,Male,Own,Married,Close,63300,2,NA,6,633,0,1,1,1,0,1,0,0
Young,Male,Rent,Single,Close,19100,0,NA,6,176,0,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,93400,2,NA,24,3079,1,1,1,1,0,1,0,0
Old,Female,Rent,Married,Far,52500,0,High,24,2038,1,1,0,0,0,0,0,1
Middle,Female,Rent,Married,Far,45400,3,Medium,24,1203,1,1,0,0,0,1,1,0
Young,Female,Own,Single,Far,21400,3,NA,6,326,1,0,0,1,1,0,0,0
Middle,Female,Own,Single,Close,53700,3,Low,12,235,1,0,1,1,0,1,0,0
Young,Female,Own,Married,Far,68000,0,High,24,3688,1,1,0,1,1,0,0,1
Young,Male,Rent,Single,Close,17400,0,NA,12,332,0,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,14600,1,Low,6,143,1,0,1,0,1,0,0,0
Old,Female,Own,Married,Far,100100,0,High,12,3104,1,1,0,1,0,0,0,1
Middle,Male,Own,Married,Far,103700,1,High,24,2339,0,1,0,1,0,1,0,1
Young,Female,Rent,Single,Far,10800,3,Low,6,123,1,0,0,0,1,0,0,0
Middle,Female,Own,Married,Close,81700,3,Low,24,879,1,1,1,1,0,1,0,0
Old,Female,Rent,Single,Close,21400,0,Low,18,498,1,0,1,0,0,0,0,0
Old,Female,Own,Married,Close,114800,0,High,18,3596,1,1,1,1,0,0,0,1
Old,Female,Own,Married,Far,67900,0,High,24,2925,1,1,0,1,0,0,0,1
Middle,Male,Own,Married,Close,53700,1,NA,12,1081,0,1,1,1,0,1,0,0
Young,Female,Rent,Single,Far,11400,3,NA,12,312,1,0,0,0,1,0,0,0
Young,Male,Rent,Married,Close,34300,3,NA,12,1297,0,1,1,0,1,0,0,0
Young,Female,Rent,Single,Close,16400,1,Low,12,218,1,0,1,0,1,0,0,0
Middle,Female,Own,Married,Far,109800,0,High,18,4279,1,1,0,1,0,1,0,1
Middle,Male,Own,Single,Close,64200,0,High,18,1642,0,0,1,1,0,1,0,1
Young,Male,Rent,Single,Close,17000,0,NA,18,581,0,0,1,0,1,0,0,0
Middle,Female,Rent,Single,Close,41400,3,Low,6,223,1,0,1,0,0,1,0,0
Middle,Female,Own,Single,Close,49100,2,Low,6,474,1,0,1,1,0,1,0,0
Old,Female,Own,Single,Far,42600,0,High,24,1790,1,0,0,1,0,0,0,1
Young,Female,Rent,Single,Close,11900,1,Low,6,143,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Far,113600,2,High,18,3237,0,1,0,1,0,1,0,1
Middle,Male,Own,Single,Close,52900,1,NA,24,2316,0,0,1,1,0,1,0,0
Young,Female,Rent,Single,Close,14300,1,NA,18,458,1,0,1,0,1,0,0,0
Young,Male,Rent,Single,Close,21000,0,Low,24,646,0,0,1,0,1,0,0,0
Middle,Male,Own,Single,Far,59600,2,Medium,18,1217,0,0,0,1,0,1,1,0
Middle,Female,Rent,Single,Close,39700,3,Low,12,238,1,0,1,0,0,1,0,0
Old,Male,Own,Married,Close,51200,0,Medium,12,1293,0,1,1,1,0,0,1,0
Middle,Female,Own,Married,Close,88200,0,NA,24,2749,1,1,1,1,0,1,0,0
Middle,Male,Own,Married,Far,122100,0,High,12,2408,0,1,0,1,0,1,0,1
Old,Female,Rent,Married,Close,84800,0,High,18,2624,1,1,1,0,0,0,0,1
Middle,Male,Own,Married,Far,140000,0,High,12,4894,0,1,0,1,0,1,0,1
Old,Female,Own,Single,Close,28500,0,Low,24,621,1,0,1,1,0,0,0,0
Middle,Male,Rent,Single,Close,60300,0,High,6,701,0,0,1,0,0,1,0,1
Young,Female,Rent,Married,Far,51900,0,NA,6,780,1,1,0,0,1,0,0,0
Middle,Male,Own,Single,Close,60200,0,Medium,12,1365,0,0,1,1,0,1,1,0
Middle,Male,Own,Married,Far,81200,0,High,12,2693,0,1,0,1,0,1,0,1
Old,Male,Own,Married,Close,73100,0,High,6,1582,0,1,1,1,0,0,0,1
Old,Male,Own,Single,Close,45700,0,Medium,18,724,0,0,1,1,0,0,1,0
Old,Female,Rent,Single,Close,28900,0,Low,12,830,1,0,1,0,0,0,0,0
Young,Female,Rent,Married,Close,60100,0,NA,18,1594,1,1,1,0,1,0,0,0
Middle,Female,Own,Married,Close,84800,1,NA,12,1826,1,1,1,1,0,1,0,0
Old,Female,Own,Married,Close,35000,0,Medium,6,473,1,1,1,1,0,0,1,0
Young,Female,Rent,Married,Close,61700,0,NA,12,1161,1,1,1,0,1,0,0,0
Old,Female,Rent,Married,Close,46900,0,Medium,6,703,1,1,1,0,0,0,1,0
Middle,Female,Own,Married,Close,123600,1,NA,12,1892,1,1,1,1,0,1,0,0
Young,Male,Rent,Married,Close,45800,0,Medium,6,489,0,1,1,0,1,0,1,0
Middle,Male,Own,Married,Far,77800,1,High,18,1813,0,1,0,1,0,1,0,1
Middle,Female,Own,Single,Close,48700,1,NA,12,1457,1,0,1,1,0,1,0,0
Middle,Female,Rent,Single,Far,39000,3,Low,6,292,1,0,0,0,0,1,0,0
Young,Female,Rent,Married,Close,40000,0,NA,6,613,1,1,1,0,1,0,0,0
Middle,Female,Rent,Married,Close,118300,1,NA,18,2681,1,1,1,0,0,1,0,0
Young,Female,Own,Single,Close,27100,2,Low,24,437,1,0,1,1,1,0,0,0
Middle,Female,Rent,Married,Close,91000,2,Medium,6,708,1,1,1,0,0,1,1,0
Middle,Female,Own,Married,Close,35300,0,Medium,24,1093,1,1,1,1,0,1,1,0
Young,Female,Rent,Single,Far,10200,2,Low,18,213,1,0,0,0,1,0,0,0
Young,Female,Rent,Single,Close,12500,1,Low,6,202,1,0,1,0,1,0,0,0
Old,Female,Own,Single,Close,64600,0,NA,6,1298,1,0,1,1,0,0,0,0
Middle,Male,Own,Married,Far,113800,0,NA,12,3273,0,1,0,1,0,1,0,0
Middle,Male,Own,Married,Far,113400,3,High,18,1790,0,1,0,1,0,1,0,1
Young,Female,Rent,Single,Close,16900,1,Low,6,247,1,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,13600,1,Low,6,183,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Far,100100,1,High,24,3491,0,1,0,1,0,1,0,1
Old,Female,Own,Married,Far,80000,0,High,6,1985,1,1,0,1,0,0,0,1
Middle,Male,Own,Married,Close,83900,0,High,24,1721,0,1,1,1,0,1,0,1
Middle,Male,Own,Married,Close,77000,0,High,12,2104,0,1,1,1,0,1,0,1
Middle,Female,Rent,Married,Close,72900,3,Low,6,252,1,1,1,0,0,1,0,0
Young,Male,Rent,Married,Close,80700,3,Low,6,202,0,1,1,0,1,0,0,0
Young,Female,Rent,Married,Close,40900,1,Medium,18,962,1,1,1,0,1,0,1,0
Young,Female,Rent,Single,Close,26700,1,NA,12,459,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,54700,0,Medium,18,848,0,1,1,1,0,1,1,0
Old,Female,Rent,Married,Close,23600,1,Low,6,161,1,1,1,0,0,0,0,0
Middle,Male,Rent,Single,Far,56900,0,High,24,1857,0,0,0,0,0,1,0,1
Middle,Male,Own,Single,Far,68700,1,NA,24,1699,0,0,0,1,0,1,0,0
Young,Female,Rent,Single,Close,19300,1,Low,24,308,1,0,1,0,1,0,0,0
Young,Male,Rent,Married,Far,20200,1,Low,24,500,0,1,0,0,1,0,0,0
Middle,Female,Rent,Married,Far,61500,3,Medium,24,1162,1,1,0,0,0,1,1,0
Middle,Female,Own,Married,Far,101700,1,NA,24,2551,1,1,0,1,0,1,0,0
Middle,Female,Rent,Married,Far,120800,1,High,24,5830,1,1,0,0,0,1,0,1
Young,Female,Rent,Single,Far,17300,1,Low,18,381,1,0,0,0,1,0,0,0
Young,Female,Rent,Married,Close,42300,0,NA,6,856,1,1,1,0,1,0,0,0
Middle,Male,Rent,Single,Close,53300,0,Medium,18,1720,0,0,1,0,0,1,1,0
Middle,Female,Rent,Single,Close,42800,0,Medium,12,759,1,0,1,0,0,1,1,0
Middle,Male,Own,Married,Close,98400,0,High,18,3305,0,1,1,1,0,1,0,1
Middle,Female,Own,Single,Close,51200,0,Medium,18,1257,1,0,1,1,0,1,1,0
Old,Male,Own,Single,Close,62200,0,NA,12,1583,0,0,1,1,0,0,0,0
Middle,Male,Own,Married,Close,109200,3,Low,24,1102,0,1,1,1,0,1,0,0
Young,Female,Rent,Single,Close,11400,2,NA,6,186,1,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,14000,0,Low,12,229,1,0,1,0,1,0,0,0
Old,Female,Rent,Married,Close,97000,0,NA,24,2599,1,1,1,0,0,0,0,0
Young,Female,Own,Single,Far,29600,3,NA,12,774,1,0,0,1,1,0,0,0
Old,Male,Own,Married,Close,71200,1,Medium,12,638,0,1,1,1,0,0,1,0
Old,Female,Rent,Single,Far,15000,0,Low,12,378,1,0,0,0,0,0,0,0
Middle,Male,Rent,Married,Far,64000,1,NA,6,1552,0,1,0,0,0,1,0,0
Old,Male,Own,Married,Far,33000,0,Medium,12,979,0,1,0,1,0,0,1,0
Old,Female,Own,Married,Close,74400,0,High,18,2479,1,1,1,1,0,0,0,1
Young,Male,Rent,Single,Far,20300,2,Low,24,450,0,0,0,0,1,0,0,0
Middle,Male,Rent,Married,Close,68700,0,High,24,2763,0,1,1,0,0,1,0,1
Young,Male,Rent,Married,Far,53600,3,Medium,24,1560,0,1,0,0,1,0,1,0
Old,Female,Own,Single,Close,33200,0,Medium,24,1037,1,0,1,1,0,0,1,0
Young,Female,Own,Married,Far,70900,0,NA,6,690,1,1,0,1,1,0,0,0
Young,Female,Rent,Single,Close,23200,3,NA,24,770,1,0,1,0,1,0,0,0
Young,Male,Own,Single,Close,41400,0,Medium,18,643,0,0,1,1,1,0,1,0
Young,Female,Rent,Married,Close,63200,0,High,24,1512,1,1,1,0,1,0,0,1
Old,Male,Own,Married,Close,107400,0,High,12,1485,0,1,1,1,0,0,0,1
Young,Male,Rent,Single,Far,13900,0,NA,24,570,0,0,0,0,1,0,0,0
Middle,Female,Rent,Married,Close,79900,1,Medium,18,1165,1,1,1,0,0,1,1,0
Middle,Male,Own,Married,Far,120000,3,High,18,1926,0,1,0,1,0,1,0,1
Old,Male,Rent,Married,Far,66300,0,NA,18,2243,0,1,0,0,0,0,0,0
Middle,Female,Own,Single,Close,54400,3,Low,18,342,1,0,1,1,0,1,0,0
