Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent,Gender_b,Married_b,Location_b,Ownhome_b,Age_y,Age_m,Hist_m,Hist_h
Middle,Male,Own,Married,Close,84200,0,High,24,1654,0,1,1,1,0,1,0,1
Young,Female,Rent,Married,Close,13800,0,Low,18,363,1,1,1,0,1,0,0,0
Young,Female,Rent,Single,Far,14500,1,Low,6,222,1,0,0,0,1,0,0,0
Young,Male,Rent,Single,Close,21300,0,Low,24,677,0,0,1,0,1,0,0,0
Old,Male,Rent,Single,Close,29000,0,Low,6,482,0,0,1,0,0,0,0,0
Old,Female,Rent,Single,Close,14600,1,Low,24,385,1,0,1,0,0,0,0,0
Old,Male,Own,Single,Close,65300,0,High,18,1443,0,0,1,1,0,0,0,1
Middle,Female,Own,Married,Close,100800,1,High,24,1789,1,1,1,1,0,1,0,1
Young,Female,Rent,Single,Far,19800,1,Low,24,991,1,0,0,0,1,0,0,0
Middle,Male,Own,Single,Close,56700,2,Low,18,536,0,0,1,1,0,1,0,0
Old,Male,Rent,Married,Close,90200,0,High,18,2183,0,1,1,0,0,0,0,1
Young,Male,Rent,Single,Close,26100,1,NA,6,494,0,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,15900,0,Low,18,503,1,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,12700,3,Low,12,87,1,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Close,43200,0,NA,24,917,0,0,1,0,0,1,0,0
Middle,Female,Rent,Married,Close,114100,1,NA,24,1976,1,1,1,0,0,1,0,0
Middle,Male,Own,Married,Close,96100,3,Low,12,316,0,1,1,1,0,1,0,0
Middle,Male,Own,Married,Close,97200,0,NA,12,1634,0,1,1,1,0,1,0,0
Middle,Male,Own,Married,Far,82400,2,High,24,2035,0,1,0,1,0,1,0,1
Old,Male,Own,Single,Far,62000,0,High,24,3293,0,0,0,1,0,0,0,1
Young,Female,Rent,Single,Close,13400,1,Low,12,143,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,108200,3,Low,12,635,0,1,1,1,0,1,0,0
Young,Female,Own,Married,Close,76200,0,High,12,979,1,1,1,1,1,0,0,1
Middle,Male,Rent,Married,Close,81800,1,High,18,1838,0,1,1,0,0,1,0,1
Young,Female,Rent,Single,Far,12000,0,Low,6,264,1,0,0,0,1,0,0,0
Middle,Male,Own,Married,Close,76100,0,NA,6,719,0,1,1,1,0,1,0,0
Middle,Male,Own,Married,Close,82100,1,High,18,1308,0,1,1,1,0,1,0,1
Old,Female,Own,Married,Close,103300,0,High,24,3378,1,1,1,1,0,0,0,1
Young,Male,Rent,Single,Close,14200,1,NA,24,400,0,0,1,0,1,0,0,0
Middle,Female,Own,Single,Far,47500,0,High,6,847,1,0,0,1,0,1,0,1
Young,Female,Rent,Single,Close,31300,1,Low,6,357,1,0,1,0,1,0,0,0
Young,Female,Rent,Married,Far,32700,1,NA,18,1276,1,1,0,0,1,0,0,0
Middle,Male,Own,Married,Close,72200,0,High,24,2492,0,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,107600,2,Medium,12,1512,1,1,1,1,0,1,1,0
Middle,Male,Own,Married,Close,109900,2,Medium,12,870,0,1,1,1,0,1,1,0
Middle,Female,Own,Married,Close,65400,2,Medium,24,938,1,1,1,1,0,1,1,0
Old,Female,Own,Single,Close,43300,0,NA,12,1584,1,0,1,1,0,0,0,0
Old,Female,Own,Single,Close,51900,0,Medium,12,1148,1,0,1,1,0,0,1,0
Middle,Female,Own,Married,Far,80600,0,High,24,2840,1,1,0,1,0,1,0,1
Middle,Female,Rent,Single,Close,42700,0,Medium,12,827,1,0,1,0,0,1,1,0
Young,Male,Rent,Single,Far,19000,0,NA,12,428,0,0,0,0,1,0,0,0
Young,Female,Rent,Single,Close,14500,1,Low,6,183,1,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,68200,1,NA,6,818,1,1,1,1,0,1,0,0
Young,Male,Rent,Married,Close,36700,0,Medium,12,731,0,1,1,0,1,0,1,0
Old,Male,Own,Married,Far,54600,0,High,24,2163,0,1,0,1,0,0,0,1
Middle,Male,Own,Married,Close,65900,1,Medium,12,1081,0,1,1,1,0,1,1,0
Young,Male,Own,Single,Far,39600,0,NA,12,1085,0,0,0,1,1,0,0,0
Young,Male,Rent,Married,Far,67300,3,NA,6,1212,0,1,0,0,1,0,0,0
Middle,Male,Own,Single,Close,59700,1,NA,18,1422,0,0,1,1,0,1,0,0
Middle,Female,Own,Married,Far,102800,2,High,18,2238,1,1,0,1,0,1,0,1
Middle,Female,Rent,Single,Close,34700,0,NA,18,1615,1,0,1,0,0,1,0,0
Middle,Male,Own,Single,Close,50600,3,NA,6,713,0,0,1,1,0,1,0,0
Middle,Male,Rent,Married,Close,106700,2,Medium,6,607,0,1,1,0,0,1,1,0
Middle,Male,Rent,Single,Close,53900,1,Medium,6,735,0,0,1,0,0,1,1,0
Young,Female,Rent,Married,Close,25500,2,Low,6,139,1,1,1,0,1,0,0,0
Young,Male,Rent,Married,Far,46300,1,Medium,18,1357,0,1,0,0,1,0,1,0
Old,Male,Own,Married,Close,55500,0,Medium,18,858,0,1,1,1,0,0,1,0
Young,Female,Own,Single,Close,27800,3,NA,12,408,1,0,1,1,1,0,0,0
Middle,Male,Own,Married,Close,118600,1,NA,12,1553,0,1,1,1,0,1,0,0
Middle,Female,Own,Married,Close,130700,3,NA,6,2070,1,1,1,1,0,1,0,0
Old,Male,Rent,Single,Close,42800,0,Medium,12,922,0,0,1,0,0,0,1,0
Middle,Female,Own,Married,Far,118300,1,High,12,2502,1,1,0,1,0,1,0,1
Young,Female,Rent,Single,Far,25600,2,NA,18,426,1,0,0,0,1,0,0,0
Middle,Male,Rent,Married,Close,63500,2,NA,24,2321,0,1,1,0,0,1,0,0
Old,Female,Own,Single,Close,30900,0,Medium,18,862,1,0,1,1,0,0,1,0
Middle,Male,Own,Single,Close,55900,1,NA,24,2555,0,0,1,1,0,1,0,0
Middle,Male,Own,Single,Far,53900,0,NA,12,1186,0,0,0,1,0,1,0,0
Old,Male,Own,Married,Close,84300,0,High,24,2842,0,1,1,1,0,0,0,1
Old,Male,Own,Single,Close,53400,1,Medium,12,886,0,0,1,1,0,0,1,0
Middle,Male,Own,Married,Close,96900,1,High,12,1420,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Far,55800,1,NA,6,821,0,0,0,0,0,1,0,0
Young,Female,Rent,Married,Close,25900,1,Low,6,242,1,1,1,0,1,0,0,0
Young,Female,Rent,Single,Close,22000,1,Low,12,472,1,0,1,0,1,0,0,0
Middle,Female,Rent,Married,Close,96700,2,Medium,12,1231,1,1,1,0,0,1,1,0
Middle,Female,Rent,Single,Close,40200,1,NA,12,881,1,0,1,0,0,1,0,0
Old,Male,Own,Married,Close,26800,0,Low,12,435,0,1,1,1,0,0,0,0
Young,Female,Rent,Single,Close,16700,2,Low,12,108,1,0,1,0,1,0,0,0
Young,Female,Rent,Married,Close,40900,2,Low,18,576,1,1,1,0,1,0,0,0
Young,Male,Rent,Married,Far,41500,3,NA,24,1314,0,1,0,0,1,0,0,0
Young,Male,Rent,Single,Close,20900,0,NA,6,296,0,0,1,0,1,0,0,0
Young,Female,Rent,Married,Close,69700,2,Medium,6,584,1,1,1,0,1,0,1,0
Middle,Male,Rent,Single,Close,61800,0,High,24,1156,0,0,1,0,0,1,0,1
Middle,Male,Own,Married,Close,102500,1,High,24,2464,0,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,48900,3,NA,18,915,1,1,1,1,0,1,0,0
Middle,Male,Own,Single,Close,60300,0,NA,24,2091,0,0,1,1,0,1,0,0
Young,Male,Rent,Married,Far,41600,0,High,24,1690,0,1,0,0,1,0,0,1
Middle,Male,Own,Single,Close,73700,1,Medium,12,1274,0,0,1,1,0,1,1,0
Young,Female,Rent,Single,Close,27000,1,NA,24,1012,1,0,1,0,1,0,0,0
Middle,Female,Rent,Single,Close,43700,0,Medium,12,950,1,0,1,0,0,1,1,0
Young,Male,Rent,Single,Close,10200,2,NA,12,333,0,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,63300,2,Medium,24,679,1,1,1,1,0,1,1,0
Young,Female,Own,Single,Far,33200,2,Medium,12,607,1,0,0,1,1,0,1,0
Old,Female,Own,Married,Far,78800,0,High,18,3398,1,1,0,1,0,0,0,1
Middle,Male,Own,Married,Close,82500,0,High,6,859,0,1,1,1,0,1,0,1
Middle,Male,Own,Single,Far,80800,2,High,18,2444,0,0,0,1,0,1,0,1
Middle,Male,Own,Married,Close,88100,2,Medium,24,1078,0,1,1,1,0,1,1,0
Middle,Male,Rent,Married,Far,124800,3,High,18,2537,0,1,0,0,0,1,0,1
Young,Male,Own,Single,Close,31900,0,Medium,6,616,0,0,1,1,1,0,1,0
Middle,Female,Own,Single,Close,53300,3,NA,6,508,1,0,1,1,0,1,0,0
Old,Male,Own,Married,Far,15400,0,Low,6,297,0,1,0,1,0,0,0,0
Middle,Male,Own,Married,Close,70200,0,NA,6,1583,0,1,1,1,0,1,0,0
Young,Female,Rent,Single,Close,23000,3,Low,6,79,1,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,82400,2,Medium,18,657,1,1,1,1,0,1,1,0
Middle,Female,Own,Married,Close,97900,0,High,24,2149,1,1,1,1,0,1,0,1
Old,Female,Rent,Married,Far,88400,0,High,18,3632,1,1,0,0,0,0,0,1
Middle,Female,Own,Married,Close,86900,0,High,18,2230,1,1,1,1,0,1,0,1
Middle,Female,Own,Single,Close,45100,1,Medium,12,448,1,0,1,1,0,1,1,0
Middle,Male,Rent,Single,Close,41800,3,Low,24,301,0,0,1,0,0,1,0,0
Old,Male,Own,Married,Close,74800,0,High,18,1968,0,1,1,1,0,0,0,1
Middle,Female,Rent,Married,Close,73000,1,Medium,6,490,1,1,1,0,0,1,1,0
Middle,Male,Own,Married,Close,118500,1,High,24,3063,0,1,1,1,0,1,0,1
Middle,Male,Own,Single,Close,65300,3,Low,6,193,0,0,1,1,0,1,0,0
Middle,Female,Rent,Married,Close,66300,2,Medium,12,544,1,1,1,0,0,1,1,0
Middle,Male,Own,Married,Far,103900,1,High,24,2666,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,71900,0,High,18,1846,1,1,1,1,0,1,0,1
Middle,Male,Own,Married,Far,86100,1,NA,12,1255,0,1,0,1,0,1,0,0
Middle,Male,Own,Married,Close,96300,1,High,12,1081,0,1,1,1,0,1,0,1
Young,Female,Rent,Single,Close,10200,3,NA,6,199,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,96300,2,NA,18,3916,0,1,1,1,0,1,0,0
Old,Female,Own,Single,Far,24000,1,Low,6,357,1,0,0,1,0,0,0,0
Middle,Female,Rent,Married,Close,46700,0,Medium,24,983,1,1,1,0,0,1,1,0
Middle,Female,Rent,Single,Close,53700,2,NA,12,1194,1,0,1,0,0,1,0,0
Middle,Male,Rent,Married,Close,108300,2,NA,12,2224,0,1,1,0,0,1,0,0
Young,Female,Rent,Single,Close,12100,1,Low,6,90,1,0,1,0,1,0,0,0
Young,Male,Rent,Married,Close,36600,0,NA,6,587,0,1,1,0,1,0,0,0
Old,Male,Own,Married,Close,66300,0,High,12,1088,0,1,1,1,0,0,0,1
Young,Female,Own,Single,Close,33400,1,NA,6,617,1,0,1,1,1,0,0,0
Middle,Male,Own,Married,Far,70000,1,NA,6,1227,0,1,0,1,0,1,0,0
Middle,Female,Own,Single,Close,47900,1,Medium,24,662,1,0,1,1,0,1,1,0
Middle,Female,Rent,Married,Close,40500,2,Low,18,622,1,1,1,0,0,1,0,0
Old,Male,Own,Single,Close,69100,0,High,12,1477,0,0,1,1,0,0,0,1
Young,Female,Rent,Single,Close,13300,1,NA,6,236,1,0,1,0,1,0,0,0
Middle,Female,Rent,Married,Far,75800,1,High,12,1830,1,1,0,0,0,1,0,1
Middle,Female,Rent,Married,Close,48600,0,Medium,24,1583,1,1,1,0,0,1,1,0
Old,Female,Own,Single,Close,39600,0,Medium,12,610,1,0,1,1,0,0,1,0
Young,Female,Rent,Single,Close,11700,0,Low,12,193,1,0,1,0,1,0,0,0
Young,Male,Rent,Married,Close,52600,1,Medium,12,1052,0,1,1,0,1,0,1,0
Young,Male,Rent,Single,Close,14600,3,NA,6,307,0,0,1,0,1,0,0,0
Old,Male,Own,Married,Close,123000,0,High,24,3671,0,1,1,1,0,0,0,1
Old,Female,Rent,Married,Far,64600,0,High,18,2206,1,1,0,0,0,0,0,1
Middle,Female,Own,Single,Far,34600,2,Medium,18,748,1,0,0,1,0,1,1,0
Middle,Male,Own,Married,Close,74500,0,High,6,1481,0,1,1,1,0,1,0,1
Old,Male,Own,Married,Close,56600,0,NA,24,1607,0,1,1,1,0,0,0,0
Old,Female,Rent,Single,Close,37000,1,NA,6,632,1,0,1,0,0,0,0,0
Young,Female,Rent,Single,Far,18400,1,Low,6,303,1,0,0,0,1,0,0,0
Young,Male,Rent,Single,Close,25000,0,Low,6,264,0,0,1,0,1,0,0,0
Middle,Male,Own,Married,Far,61400,1,High,24,1575,0,1,0,1,0,1,0,1
Middle,Male,Own,Married,Close,76400,2,Medium,18,881,0,1,1,1,0,1,1,0
Young,Male,Own,Married,Close,55100,0,Medium,18,1439,0,1,1,1,1,0,1,0
Old,Female,Own,Married,Far,22800,0,NA,12,452,1,1,0,1,0,0,0,0
Old,Female,Own,Married,Close,10100,1,Low,6,93,1,1,1,1,0,0,0,0
Young,Male,Rent,Single,Close,17800,0,Low,18,292,0,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,59100,1,NA,6,1426,1,1,1,1,0,1,0,0
Young,Female,Rent,Single,Far,19700,2,Low,6,330,1,0,0,0,1,0,0,0
Middle,Male,Own,Married,Far,73800,0,High,24,3120,0,1,0,1,0,1,0,1
Middle,Male,Own,Married,Far,113300,1,High,18,5151,0,1,0,1,0,1,0,1
Middle,Male,Own,Married,Far,118400,2,NA,12,3941,0,1,0,1,0,1,0,0
Middle,Male,Own,Married,Close,92300,1,NA,24,2141,0,1,1,1,0,1,0,0
Young,Male,Rent,Single,Close,11200,0,NA,6,106,0,0,1,0,1,0,0,0
Young,Female,Rent,Married,Far,30100,0,Medium,12,530,1,1,0,0,1,0,1,0
Middle,Female,Own,Single,Close,43500,1,Medium,12,500,1,0,1,1,0,1,1,0
Middle,Male,Own,Married,Close,97500,0,High,18,2837,0,1,1,1,0,1,0,1
Old,Male,Own,Married,Close,54600,0,Medium,24,1246,0,1,1,1,0,0,1,0
Middle,Male,Rent,Single,Far,42500,1,NA,6,798,0,0,0,0,0,1,0,0
Middle,Male,Own,Single,Close,82800,0,NA,6,1544,0,0,1,1,0,1,0,0
Old,Male,Own,Married,Far,62300,0,High,24,2644,0,1,0,1,0,0,0,1
Young,Male,Rent,Single,Far,21900,2,NA,6,192,0,0,0,0,1,0,0,0
Middle,Female,Rent,Single,Far,35600,3,Low,18,865,1,0,0,0,0,1,0,0
Middle,Male,Own,Married,Close,96900,0,High,6,1159,0,1,1,1,0,1,0,1
Young,Female,Rent,Married,Close,36900,1,NA,18,1480,1,1,1,0,1,0,0,0
Middle,Female,Rent,Married,Close,93500,1,High,18,1426,1,1,1,0,0,1,0,1
Middle,Male,Own,Married,Close,97300,1,NA,12,3048,0,1,1,1,0,1,0,0
Young,Male,Rent,Single,Close,21900,0,Low,12,276,0,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Close,63000,0,High,24,1910,0,0,1,0,0,1,0,1
Young,Female,Rent,Single,Close,11500,3,NA,6,157,1,0,1,0,1,0,0,0
Middle,Male,Own,Single,Close,44600,2,Low,6,236,0,0,1,1,0,1,0,0
Young,Female,Rent,Single,Close,21900,1,NA,12,576,1,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Far,45100,1,Medium,12,794,0,0,0,0,0,1,1,0
Old,Female,Own,Married,Close,74900,0,High,12,1474,1,1,1,1,0,0,0,1
Young,Male,Rent,Single,Close,14200,0,Low,6,250,0,0,1,0,1,0,0,0
Young,Female,Rent,Single,Far,23200,2,NA,24,788,1,0,0,0,1,0,0,0
Old,Male,Own,Married,Close,73300,0,NA,12,1694,0,1,1,1,0,0,0,0
Old,Male,Own,Married,Far,41300,0,High,24,1985,0,1,0,1,0,0,0,1
Old,Female,Own,Single,Far,32700,0,Medium,24,1252,1,0,0,1,0,0,1,0
Old,Female,Own,Single,Close,35200,0,NA,12,827,1,0,1,1,0,0,0,0
Young,Female,Rent,Single,Close,13100,0,NA,18,314,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,97400,1,High,6,880,0,1,1,1,0,1,0,1
Young,Female,Rent,Single,Far,23100,2,Low,6,466,1,0,0,0,1,0,0,0
Middle,Male,Own,Single,Close,49200,3,Low,12,210,0,0,1,1,0,1,0,0
Middle,Male,Own,Single,Far,45000,1,NA,18,902,0,0,0,1,0,1,0,0
Middle,Male,Own,Married,Close,87200,0,High,18,1274,0,1,1,1,0,1,0,1
Middle,Male,Own,Single,Close,49900,1,NA,24,1631,0,0,1,1,0,1,0,0
Middle,Male,Own,Married,Close,66900,0,High,12,1220,0,1,1,1,0,1,0,1
Middle,Female,Own,Single,Close,47600,1,Medium,12,801,1,0,1,1,0,1,1,0
Middle,Female,Own,Single,Close,47900,0,NA,12,1090,1,0,1,1,0,1,0,0
Middle,Male,Own,Single,Close,59400,0,Medium,18,1699,0,0,1,1,0,1,1,0
Middle,Female,Rent,Single,Close,32700,2,Low,6,273,1,0,1,0,0,1,0,0
Middle,Male,Rent,Single,Close,34200,1,Low,18,523,0,0,1,0,0,1,0,0
Middle,Male,Own,Married,Close,96600,0,NA,12,1437,0,1,1,1,0,1,0,0
Middle,Female,Own,Married,Close,126300,1,High,6,1888,1,1,1,1,0,1,0,1
Young,Male,Rent,Single,Close,31600,1,NA,12,476,0,0,1,0,1,0,0,0
Middle,Female,Own,Married,Far,108100,3,High,18,2632,1,1,0,1,0,1,0,1
Middle,Female,Rent,Single,Close,43300,3,Low,24,326,1,0,1,0,0,1,0,0
Old,Female,Rent,Single,Far,17900,0,Low,6,446,1,0,0,0,0,0,0,0
Middle,Male,Own,Single,Far,50100,1,High,18,1071,0,0,0,1,0,1,0,1
Old,Female,Own,Married,Close,74700,0,High,12,1699,1,1,1,1,0,0,0,1
Old,Male,Rent,Married,Close,60000,0,Medium,6,966,0,1,1,0,0,0,1,0
Young,Male,Own,Single,Close,33400,0,NA,12,567,0,0,1,1,1,0,0,0
Middle,Female,Rent,Married,Close,68800,0,NA,6,1658,1,1,1,0,0,1,0,0
Middle,Female,Rent,Single,Close,25700,2,Low,6,173,1,0,1,0,0,1,0,0
Middle,Male,Own,Married,Close,83700,0,High,24,3344,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Close,50500,0,Medium,12,1029,0,0,1,0,0,1,1,0
Young,Female,Rent,Single,Close,17300,0,Low,12,345,1,0,1,0,1,0,0,0
Middle,Male,Own,Single,Close,45800,0,NA,6,712,0,0,1,1,0,1,0,0
Old,Male,Own,Married,Close,108900,0,High,12,1841,0,1,1,1,0,0,0,1
Middle,Female,Rent,Married,Close,60500,2,Low,6,409,1,1,1,0,0,1,0,0
Old,Female,Own,Married,Far,84100,0,High,18,2710,1,1,0,1,0,0,0,1
Young,Male,Rent,Married,Far,25100,0,Medium,12,592,0,1,0,0,1,0,1,0
Middle,Male,Own,Married,Close,69900,1,NA,18,2101,0,1,1,1,0,1,0,0
Middle,Male,Own,Married,Close,97100,0,NA,12,1473,0,1,1,1,0,1,0,0
Middle,Female,Own,Married,Close,72200,2,Medium,18,715,1,1,1,1,0,1,1,0
Old,Female,Own,Married,Far,78900,0,High,18,2233,1,1,0,1,0,0,0,1
Middle,Female,Own,Single,Far,62500,3,NA,6,921,1,0,0,1,0,1,0,0
Young,Female,Rent,Single,Close,17800,1,Low,6,216,1,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,105500,1,High,6,1781,1,1,1,1,0,1,0,1
Middle,Female,Own,Single,Close,46100,2,Low,12,418,1,0,1,1,0,1,0,0
Young,Male,Rent,Single,Close,27100,1,Low,12,268,0,0,1,0,1,0,0,0
Young,Male,Rent,Married,Far,60300,1,NA,6,1252,0,1,0,0,1,0,0,0
Young,Female,Rent,Single,Close,12000,0,Low,6,140,1,0,1,0,1,0,0,0
Middle,Female,Own,Single,Close,48400,0,Medium,12,992,1,0,1,1,0,1,1,0
Middle,Male,Rent,Single,Close,45600,0,Medium,18,1388,0,0,1,0,0,1,1,0
Middle,Female,Own,Single,Close,35200,2,Low,6,233,1,0,1,1,0,1,0,0
Middle,Male,Rent,Single,Far,60200,0,High,24,2304,0,0,0,0,0,1,0,1
Middle,Female,Rent,Married,Far,53900,1,High,18,2177,1,1,0,0,0,1,0,1
Middle,Male,Own,Married,Close,70400,2,NA,12,1127,0,1,1,1,0,1,0,0
Young,Male,Rent,Married,Close,36900,0,Medium,18,721,0,1,1,0,1,0,1,0
Old,Female,Own,Single,Close,36100,0,Medium,12,438,1,0,1,1,0,0,1,0
Young,Female,Rent,Single,Close,11000,2,NA,18,393,1,0,1,0,1,0,0,0
Middle,Male,Own,Single,Close,61600,0,NA,18,1666,0,0,1,1,0,1,0,0
Middle,Male,Own,Married,Close,88700,1,NA,18,2448,0,1,1,1,0,1,0,0
Middle,Female,Own,Married,Far,88600,1,High,18,2563,1,1,0,1,0,1,0,1
Middle,Male,Rent,Married,Close,79500,0,High,18,1763,0,1,1,0,0,1,0,1
Young,Female,Rent,Single,Close,18900,1,Low,6,184,1,0,1,0,1,0,0,0
Old,Female,Own,Single,Close,17300,0,Low,6,166,1,0,1,1,0,0,0,0
Middle,Female,Rent,Married,Close,81400,2,NA,6,1014,1,1,1,0,0,1,0,0
Young,Male,Rent,Married,Close,36500,0,Medium,24,1140,0,1,1,0,1,0,1,0
Middle,Female,Own,Single,Close,43300,1,NA,18,1021,1,0,1,1,0,1,0,0
Middle,Male,Own,Married,Close,76700,1,Medium,24,1431,0,1,1,1,0,1,1,0
Middle,Male,Own,Married,Far,123000,1,High,24,5878,0,1,0,1,0,1,0,1
Middle,Male,Own,Single,Close,56300,3,Low,6,321,0,0,1,1,0,1,0,0
