Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent,Gender_b,Married_b,Location_b,Ownhome_b,Age_y,Age_m,Hist_m,Hist_h
Middle,Male,Own,Married,Far,79700,1,High,24,3384,0,1,0,1,0,1,0,1
Middle,Male,Own,Single,Close,45900,2,Low,12,416,0,0,1,1,0,1,0,0
Old,Female,Own,Married,Close,42800,0,Medium,6,685,1,1,1,1,0,0,1,0
Old,Male,Own,Married,Far,65500,0,High,24,1931,0,1,0,1,0,0,0,1
Old,Female,Rent,Single,Close,33600,0,Medium,12,573,1,0,1,0,0,0,1,0
Middle,Female,Own,Single,Far,55600,1,High,18,1553,1,0,0,1,0,1,0,1
Young,Female,Rent,Single,Close,24000,2,NA,6,362,1,0,1,0,1,0,0,0
Young,Male,Rent,Single,Far,25700,0,Medium,18,907,0,0,0,0,1,0,1,0
Old,Female,Own,Married,Close,21500,0,Low,18,445,1,1,1,1,0,0,0,0
Old,Female,Rent,Married,Close,68600,0,High,18,1342,1,1,1,0,0,0,0,1
Young,Female,Rent,Single,Far,23100,2,Low,12,457,1,0,0,0,1,0,0,0
Middle,Female,Rent,Married,Close,53300,0,Medium,24,1598,1,1,1,0,0,1,1,0
Old,Female,Own,Married,Close,112800,0,High,12,1861,1,1,1,1,0,0,0,1
Old,Male,Own,Married,Close,124900,0,High,18,4109,0,1,1,1,0,0,0,1
Middle,Female,Own,Single,Close,72200,0,NA,18,3278,1,0,1,1,0,1,0,0
Middle,Male,Rent,Single,Close,35100,1,Low,6,421,0,0,1,0,0,1,0,0
Old,Female,Rent,Single,Close,14900,0,NA,12,275,1,0,1,0,0,0,0,0
Middle,Male,Rent,Single,Close,72000,0,High,12,1475,0,0,1,0,0,1,0,1
Middle,Male,Own,Married,Close,82400,0,High,18,1779,0,1,1,1,0,1,0,1
Young,Male,Rent,Married,Close,41600,3,NA,24,1634,0,1,1,0,1,0,0,0
Middle,Female,Own,Married,Close,68500,2,NA,12,1500,1,1,1,1,0,1,0,0
Young,Male,Own,Married,Close,62200,0,High,24,1348,0,1,1,1,1,0,0,1
Old,Female,Own,Single,Close,35900,0,NA,12,962,1,0,1,1,0,0,0,0
Young,Male,Rent,Single,Close,14100,0,Low,12,328,0,0,1,0,1,0,0,0
Young,Female,Rent,Married,Close,36500,1,NA,18,747,1,1,1,0,1,0,0,0
Middle,Female,Own,Married,Close,86400,1,High,12,1713,1,1,1,1,0,1,0,1
Old,Female,Rent,Married,Close,39500,0,Medium,12,1006,1,1,1,0,0,0,1,0
Old,Male,Own,Married,Close,85300,0,NA,12,2523,0,1,1,1,0,0,0,0
Old,Female,Own,Married,Close,110700,0,High,12,2458,1,1,1,1,0,0,0,1
Young,Male,Rent,Single,Far,17700,0,Low,18,742,0,0,0,0,1,0,0,0
Young,Female,Rent,Married,Far,33200,1,NA,24,1639,1,1,0,0,1,0,0,0
Middle,Female,Own,Single,Close,53800,0,Medium,12,843,1,0,1,1,0,1,1,0
Old,Male,Rent,Single,Close,44400,0,Medium,18,886,0,0,1,0,0,0,1,0
Middle,Female,Rent,Married,Close,135700,1,High,24,2746,1,1,1,0,0,1,0,1
Young,Female,Rent,Single,Far,20700,1,Low,12,550,1,0,0,0,1,0,0,0
Middle,Male,Rent,Married,Far,83500,2,High,24,2098,0,1,0,0,0,1,0,1
Middle,Female,Rent,Married,Close,84200,2,Medium,24,954,1,1,1,0,0,1,1,0
Middle,Female,Rent,Married,Close,79900,1,Medium,12,1041,1,1,1,0,0,1,1,0
Old,Female,Rent,Single,Far,19700,0,Low,6,535,1,0,0,0,0,0,0,0
Middle,Female,Rent,Single,Close,35300,0,NA,18,1369,1,0,1,0,0,1,0,0
Old,Male,Own,Married,Far,52000,0,High,18,2545,0,1,0,1,0,0,0,1
Young,Male,Rent,Single,Close,21300,1,NA,12,329,0,0,1,0,1,0,0,0
Middle,Male,Own,Single,Close,63700,0,NA,6,1351,0,0,1,1,0,1,0,0
Old,Female,Own,Married,Close,25900,0,Low,18,582,1,1,1,1,0,0,0,0
Middle,Male,Rent,Married,Close,65800,2,Medium,18,578,0,1,1,0,0,1,1,0
Old,Female,Rent,Single,Close,11000,0,NA,24,195,1,0,1,0,0,0,0,0
Old,Female,Rent,Married,Close,65900,0,High,12,777,1,1,1,0,0,0,0,1
Middle,Female,Own,Married,Close,108100,1,High,12,1133,1,1,1,1,0,1,0,1
Middle,Male,Own,Married,Close,107300,2,Medium,18,1566,0,1,1,1,0,1,1,0
Middle,Female,Rent,Married,Close,79500,0,High,12,1651,1,1,1,0,0,1,0,1
Middle,Female,Rent,Married,Close,95900,0,NA,24,3168,1,1,1,0,0,1,0,0
Middle,Male,Rent,Single,Close,45200,1,Medium,18,699,0,0,1,0,0,1,1,0
Middle,Male,Own,Married,Close,98500,0,High,18,2034,0,1,1,1,0,1,0,1
Old,Female,Own,Married,Close,96200,0,High,12,1457,1,1,1,1,0,0,0,1
Young,Male,Rent,Single,Close,17900,0,NA,18,395,0,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,42700,0,Medium,6,541,0,1,1,1,0,1,1,0
Middle,Male,Own,Single,Far,49700,0,High,24,2844,0,0,0,1,0,1,0,1
Middle,Female,Rent,Single,Close,43000,3,Low,24,225,1,0,1,0,0,1,0,0
Young,Female,Rent,Single,Close,15500,1,Low,6,210,1,0,1,0,1,0,0,0
Young,Male,Rent,Single,Close,13000,3,Low,6,43,0,0,1,0,1,0,0,0
Middle,Female,Rent,Single,Close,27200,3,Low,24,243,1,0,1,0,0,1,0,0
Old,Female,Own,Married,Close,26700,0,Low,24,1120,1,1,1,1,0,0,0,0
Old,Male,Own,Single,Far,61000,0,High,6,975,0,0,0,1,0,0,0,1
Middle,Female,Own,Married,Close,76600,3,NA,24,2904,1,1,1,1,0,1,0,0
Middle,Male,Own,Married,Close,117500,2,Medium,12,927,0,1,1,1,0,1,1,0
Old,Male,Own,Married,Close,90600,0,High,24,3167,0,1,1,1,0,0,0,1
Young,Female,Rent,Single,Far,12600,0,Low,6,241,1,0,0,0,1,0,0,0
Old,Female,Own,Single,Close,12700,2,Low,6,65,1,0,1,1,0,0,0,0
Middle,Female,Own,Married,Far,77600,3,Medium,12,858,1,1,0,1,0,1,1,0
Middle,Female,Rent,Married,Far,92400,1,NA,6,2191,1,1,0,0,0,1,0,0
Old,Female,Rent,Married,Close,71800,0,High,24,1946,1,1,1,0,0,0,0,1
Middle,Male,Own,Married,Far,95800,3,NA,12,2581,0,1,0,1,0,1,0,0
Young,Female,Own,Single,Close,32600,3,Low,12,172,1,0,1,1,1,0,0,0
Middle,Male,Own,Married,Close,74500,2,Medium,12,824,0,1,1,1,0,1,1,0
Old,Female,Rent,Single,Close,29200,0,Low,12,556,1,0,1,0,0,0,0,0
Young,Female,Rent,Single,Far,12900,1,Low,6,167,1,0,0,0,1,0,0,0
Middle,Male,Rent,Married,Close,117700,1,High,12,2104,0,1,1,0,0,1,0,1
Middle,Female,Own,Married,Close,64100,1,Medium,18,1332,1,1,1,1,0,1,1,0
Middle,Female,Rent,Single,Close,46500,1,Medium,24,829,1,0,1,0,0,1,1,0
Young,Female,Rent,Single,Close,12400,1,NA,12,229,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Far,130600,0,High,18,3442,0,1,0,1,0,1,0,1
Middle,Male,Own,Married,Far,74400,0,High,6,1893,0,1,0,1,0,1,0,1
Old,Female,Own,Single,Far,40600,2,Medium,6,690,1,0,0,1,0,0,1,0
Young,Female,Rent,Married,Close,54200,1,Medium,6,486,1,1,1,0,1,0,1,0
Middle,Male,Own,Single,Far,65400,1,High,12,2290,0,0,0,1,0,1,0,1
Middle,Male,Rent,Single,Close,49100,0,NA,6,934,0,0,1,0,0,1,0,0
Young,Female,Rent,Single,Close,10600,2,NA,24,517,1,0,1,0,1,0,0,0
Young,Female,Rent,Married,Close,76400,0,NA,12,2216,1,1,1,0,1,0,0,0
Middle,Female,Rent,Married,Close,93700,1,High,24,1521,1,1,1,0,0,1,0,1
Middle,Male,Rent,Single,Far,49000,0,High,18,1523,0,0,0,0,0,1,0,1
Middle,Female,Own,Married,Close,96500,1,High,18,1364,1,1,1,1,0,1,0,1
Middle,Male,Own,Single,Close,55600,0,NA,12,952,0,0,1,1,0,1,0,0
Middle,Male,Own,Married,Close,99600,1,High,6,871,0,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,79900,3,Low,12,295,1,1,1,1,0,1,0,0
Old,Female,Rent,Married,Close,50500,0,Medium,12,642,1,1,1,0,0,0,1,0
Old,Female,Own,Single,Far,16300,0,Low,6,317,1,0,0,1,0,0,0,0
Old,Female,Own,Married,Close,49200,0,Medium,12,1078,1,1,1,1,0,0,1,0
Middle,Male,Own,Single,Far,48100,2,Medium,18,961,0,0,0,1,0,1,1,0
Middle,Male,Own,Single,Far,61300,2,High,24,1241,0,0,0,1,0,1,0,1
Middle,Female,Own,Married,Close,72600,1,NA,18,1999,1,1,1,1,0,1,0,0
Young,Male,Rent,Single,Far,19500,0,NA,24,571,0,0,0,0,1,0,0,0
Young,Female,Rent,Single,Close,17200,1,NA,12,329,1,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Far,51100,0,High,24,1984,0,0,0,0,0,1,0,1
Middle,Male,Own,Single,Close,76800,1,Medium,18,1061,0,0,1,1,0,1,1,0
Middle,Male,Own,Single,Far,60200,0,High,12,1955,0,0,0,1,0,1,0,1
Middle,Male,Rent,Single,Close,59100,2,Low,18,580,0,0,1,0,0,1,0,0
Old,Female,Own,Single,Close,32500,0,Medium,24,883,1,0,1,1,0,0,1,0
Middle,Female,Rent,Single,Far,49500,2,Medium,12,1195,1,0,0,0,0,1,1,0
Middle,Male,Own,Married,Close,109600,1,High,12,2318,0,1,1,1,0,1,0,1
Young,Female,Rent,Married,Close,47300,0,NA,6,640,1,1,1,0,1,0,0,0
Middle,Male,Rent,Married,Close,93000,1,High,24,2644,0,1,1,0,0,1,0,1
Young,Female,Own,Single,Far,32000,1,NA,24,1320,1,0,0,1,1,0,0,0
Young,Female,Own,Single,Close,44700,1,Medium,6,502,1,0,1,1,1,0,1,0
Old,Female,Own,Married,Close,69400,0,High,18,2419,1,1,1,1,0,0,0,1
Middle,Male,Own,Married,Close,64300,2,Medium,6,661,0,1,1,1,0,1,1,0
Middle,Male,Own,Single,Far,75400,0,High,24,2723,0,0,0,1,0,1,0,1
Middle,Male,Own,Married,Close,96100,0,High,6,1588,0,1,1,1,0,1,0,1
Old,Female,Own,Married,Close,118000,3,Low,12,581,1,1,1,1,0,0,0,0
Young,Male,Rent,Married,Close,69700,1,Medium,12,1432,0,1,1,0,1,0,1,0
Old,Male,Own,Single,Close,59300,0,Medium,12,929,0,0,1,1,0,0,1,0
Middle,Female,Rent,Married,Close,88600,3,Low,6,212,1,1,1,0,0,1,0,0
Middle,Male,Own,Married,Close,102600,0,High,18,2546,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Close,43700,0,NA,18,1344,0,0,1,0,0,1,0,0
Old,Female,Own,Married,Close,22400,0,NA,24,947,1,1,1,1,0,0,0,0
Middle,Male,Rent,Married,Far,70500,1,NA,24,2145,0,1,0,0,0,1,0,0
Middle,Male,Own,Married,Close,54200,1,Medium,6,757,0,1,1,1,0,1,1,0
Middle,Female,Own,Single,Far,25300,1,NA,6,451,1,0,0,1,0,1,0,0
Old,Male,Own,Married,Close,116100,1,High,24,2975,0,1,1,1,0,0,0,1
Young,Female,Rent,Single,Close,15900,0,NA,18,406,1,0,1,0,1,0,0,0
Middle,Female,Own,Single,Close,46600,3,Low,6,158,1,0,1,1,0,1,0,0
Young,Male,Own,Single,Close,23200,0,NA,24,534,0,0,1,1,1,0,0,0
Young,Male,Rent,Single,Close,18200,0,Low,12,401,0,0,1,0,1,0,0,0
Middle,Female,Own,Married,Close,82700,1,High,18,1753,1,1,1,1,0,1,0,1
Young,Female,Rent,Single,Close,17000,0,Low,18,659,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,83000,2,Medium,6,726,0,1,1,1,0,1,1,0
Young,Female,Own,Married,Close,42400,1,NA,18,1166,1,1,1,1,1,0,0,0
Old,Male,Own,Single,Close,40200,2,NA,18,1197,0,0,1,1,0,0,0,0
Young,Female,Rent,Single,Far,17300,0,Low,6,411,1,0,0,0,1,0,0,0
Middle,Female,Own,Married,Close,109800,1,High,24,2258,1,1,1,1,0,1,0,1
Middle,Female,Own,Single,Far,64400,3,Medium,24,1913,1,0,0,1,0,1,1,0
Young,Female,Rent,Single,Far,27600,1,Medium,24,893,1,0,0,0,1,0,1,0
Young,Female,Rent,Single,Close,25100,1,NA,6,421,1,0,1,0,1,0,0,0
Middle,Female,Own,Single,Close,46300,3,NA,6,1138,1,0,1,1,0,1,0,0
Old,Female,Own,Married,Far,74900,0,NA,12,1804,1,1,0,1,0,0,0,0
Middle,Male,Own,Single,Close,67900,0,High,18,1418,0,0,1,1,0,1,0,1
Middle,Male,Rent,Married,Close,88500,2,Medium,24,1104,0,1,1,0,0,1,1,0
Middle,Male,Own,Married,Close,99200,3,NA,12,2796,0,1,1,1,0,1,0,0
Old,Female,Own,Married,Close,62800,0,High,18,1403,1,1,1,1,0,0,0,1
Old,Male,Own,Married,Far,76900,2,High,24,3230,0,1,0,1,0,0,0,1
Middle,Male,Own,Married,Close,84100,3,NA,6,1352,0,1,1,1,0,1,0,0
Old,Female,Own,Married,Close,77600,0,High,18,2004,1,1,1,1,0,0,0,1
Young,Female,Rent,Single,Close,19100,1,Low,18,403,1,0,1,0,1,0,0,0
Old,Female,Own,Married,Far,128700,0,High,24,3995,1,1,0,1,0,0,0,1
Young,Female,Rent,Single,Far,14400,1,Low,6,390,1,0,0,0,1,0,0,0
Old,Male,Rent,Married,Close,49600,0,Medium,6,770,0,1,1,0,0,0,1,0
Middle,Female,Rent,Single,Close,47000,0,NA,6,963,1,0,1,0,0,1,0,0
Young,Female,Rent,Married,Close,36600,0,Medium,6,833,1,1,1,0,1,0,1,0
Middle,Female,Own,Single,Close,65800,1,Medium,12,869,1,0,1,1,0,1,1,0
Middle,Male,Rent,Married,Far,52800,2,Medium,12,926,0,1,0,0,0,1,1,0
Middle,Male,Own,Married,Close,96500,0,High,24,3780,0,1,1,1,0,1,0,1
Middle,Female,Rent,Married,Close,63500,1,Medium,18,1023,1,1,1,0,0,1,1,0
Middle,Male,Rent,Single,Close,60400,1,Medium,6,791,0,0,1,0,0,1,1,0
Middle,Male,Own,Married,Close,102700,3,NA,12,1473,0,1,1,1,0,1,0,0
Middle,Male,Own,Married,Close,100100,2,NA,6,1597,0,1,1,1,0,1,0,0
Middle,Male,Rent,Single,Close,54400,0,Medium,6,1150,0,0,1,0,0,1,1,0
Middle,Male,Rent,Married,Close,105600,3,Low,6,304,0,1,1,0,0,1,0,0
Old,Female,Own,Married,Far,57900,0,High,12,1693,1,1,0,1,0,0,0,1
Young,Male,Own,Single,Close,31500,3,Low,18,269,0,0,1,1,1,0,0,0
Middle,Female,Rent,Married,Far,60100,1,High,18,1430,1,1,0,0,0,1,0,1
Middle,Male,Rent,Married,Close,87400,2,NA,18,2729,0,1,1,0,0,1,0,0
Middle,Male,Own,Married,Close,117900,0,High,6,1760,0,1,1,1,0,1,0,1
Middle,Male,Own,Single,Close,48800,1,Medium,24,1271,0,0,1,1,0,1,1,0
Middle,Female,Own,Married,Close,67900,3,Low,12,356,1,1,1,1,0,1,0,0
Old,Male,Rent,Married,Far,66200,0,NA,6,1024,0,1,0,0,0,0,0,0
Middle,Male,Rent,Married,Close,88000,2,Medium,6,524,0,1,1,0,0,1,1,0
Middle,Male,Rent,Married,Close,94200,1,High,18,1211,0,1,1,0,0,1,0,1
Young,Female,Rent,Single,Close,29200,3,NA,6,636,1,0,1,0,1,0,0,0
Young,Male,Rent,Single,Far,15300,0,Low,24,645,0,0,0,0,1,0,0,0
Young,Male,Rent,Single,Far,17500,0,Low,18,472,0,0,0,0,1,0,0,0
Old,Male,Own,Married,Close,168800,0,High,6,1512,0,1,1,1,0,0,0,1
Middle,Male,Rent,Single,Far,40200,0,High,18,1634,0,0,0,0,0,1,0,1
Young,Male,Rent,Single,Close,28400,3,Low,18,182,0,0,1,0,1,0,0,0
Middle,Male,Rent,Married,Far,72200,3,Medium,18,1042,0,1,0,0,0,1,1,0
Middle,Female,Own,Single,Far,55200,0,High,18,1714,1,0,0,1,0,1,0,1
Middle,Female,Rent,Single,Close,44600,0,Medium,18,966,1,0,1,0,0,1,1,0
Middle,Male,Own,Single,Close,58400,0,Medium,12,829,0,0,1,1,0,1,1,0
Middle,Female,Own,Single,Close,67800,1,Medium,6,680,1,0,1,1,0,1,1,0
Old,Female,Own,Single,Close,25500,0,Low,18,636,1,0,1,1,0,0,0,0
Young,Female,Rent,Single,Far,20000,3,Low,6,182,1,0,0,0,1,0,0,0
Middle,Male,Rent,Single,Far,52600,1,NA,18,1773,0,0,0,0,0,1,0,0
Middle,Male,Rent,Married,Far,97600,1,NA,12,2902,0,1,0,0,0,1,0,0
Old,Male,Own,Married,Close,23400,0,Low,6,348,0,1,1,1,0,0,0,0
Middle,Female,Own,Married,Close,102500,3,Low,12,548,1,1,1,1,0,1,0,0
Middle,Female,Own,Married,Far,52300,1,High,18,2034,1,1,0,1,0,1,0,1
Middle,Male,Rent,Single,Far,65400,0,High,12,2296,0,0,0,0,0,1,0,1
Young,Male,Rent,Single,Close,19600,0,Low,12,395,0,0,1,0,1,0,0,0
Old,Male,Own,Married,Far,37000,0,Medium,12,850,0,1,0,1,0,0,1,0
Young,Female,Rent,Single,Far,13200,0,NA,18,512,1,0,0,0,1,0,0,0
Middle,Male,Rent,Single,Close,63800,1,Medium,24,1622,0,0,1,0,0,1,1,0
Old,Female,Rent,Single,Far,22600,0,NA,12,865,1,0,0,0,0,0,0,0
Old,Female,Own,Single,Close,37300,0,Medium,6,673,1,0,1,1,0,0,1,0
Young,Male,Rent,Single,Far,14900,1,NA,12,422,0,0,0,0,1,0,0,0
Middle,Female,Own,Single,Close,36700,1,NA,6,529,1,0,1,1,0,1,0,0
Middle,Male,Own,Single,Close,63200,0,High,24,1932,0,0,1,1,0,1,0,1
Old,Male,Own,Married,Close,77300,0,High,18,1853,0,1,1,1,0,0,0,1
Middle,Male,Rent,Single,Close,43100,1,NA,12,1224,0,0,1,0,0,1,0,0
Middle,Female,Rent,Single,Far,44800,1,Medium,6,666,1,0,0,0,0,1,1,0
Old,Female,Rent,Married,Close,70900,0,High,24,1685,1,1,1,0,0,0,0,1
Middle,Female,Rent,Single,Far,38200,0,Medium,24,1476,1,0,0,0,0,1,1,0
Young,Female,Rent,Single,Far,18400,1,Low,6,319,1,0,0,0,1,0,0,0
Middle,Female,Rent,Single,Close,40700,3,Low,18,232,1,0,1,0,0,1,0,0
Old,Male,Own,Single,Close,71300,0,High,18,1543,0,0,1,1,0,0,0,1
Middle,Female,Rent,Single,Close,36400,2,Low,18,506,1,0,1,0,0,1,0,0
Young,Male,Rent,Single,Close,15400,0,Low,6,172,0,0,1,0,1,0,0,0
Middle,Male,Own,Single,Far,39100,1,Medium,12,1001,0,0,0,1,0,1,1,0
Middle,Male,Rent,Single,Close,43800,0,Medium,12,606,0,0,1,0,0,1,1,0
Young,Male,Rent,Single,Far,25300,0,Medium,12,591,0,0,0,0,1,0,1,0
Old,Male,Rent,Married,Close,71800,0,High,12,1389,0,1,1,0,0,0,0,1
Middle,Male,Own,Single,Close,73200,0,High,24,2177,0,0,1,1,0,1,0,1
Middle,Male,Own,Married,Far,79000,1,High,18,2279,0,1,0,1,0,1,0,1
Middle,Female,Rent,Married,Close,75200,1,NA,24,2702,1,1,1,0,0,1,0,0
Young,Female,Rent,Single,Close,25300,3,NA,6,510,1,0,1,0,1,0,0,0
Old,Female,Own,Married,Close,43600,0,Medium,12,1047,1,1,1,1,0,0,1,0
Middle,Male,Own,Married,Close,83600,2,Medium,6,538,0,1,1,1,0,1,1,0
Middle,Female,Own,Single,Far,56200,0,High,18,1546,1,0,0,1,0,1,0,1
Young,Male,Rent,Married,Close,45500,0,Medium,6,754,0,1,1,0,1,0,1,0
Middle,Male,Own,Married,Close,99300,1,High,12,1504,0,1,1,1,0,1,0,1
Middle,Male,Own,Married,Far,108000,3,High,24,1849,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Far,84900,1,High,24,3072,1,1,0,1,0,1,0,1
Middle,Male,Own,Married,Far,93000,3,High,6,1046,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,82000,0,High,18,1800,1,1,1,1,0,1,0,1
Old,Female,Own,Single,Close,33000,3,NA,6,700,1,0,1,1,0,0,0,0
Middle,Female,Own,Single,Close,36900,2,Low,24,514,1,0,1,1,0,1,0,0
Middle,Female,Rent,Single,Close,33200,1,NA,6,320,1,0,1,0,0,1,0,0
Young,Male,Rent,Married,Close,49300,0,NA,24,1692,0,1,1,0,1,0,0,0
Old,Male,Rent,Married,Far,66200,0,High,24,2057,0,1,0,0,0,0,0,1
Middle,Male,Own,Married,Far,96800,2,High,18,2299,0,1,0,1,0,1,0,1
Old,Male,Own,Single,Close,63200,0,High,24,1507,0,0,1,1,0,0,0,1
Old,Male,Own,Married,Far,112900,0,High,24,6217,0,1,0,1,0,0,0,1
Middle,Female,Rent,Single,Close,32100,2,Low,24,405,1,0,1,0,0,1,0,0
Middle,Male,Own,Married,Far,102700,1,High,18,3785,0,1,0,1,0,1,0,1
Middle,Male,Own,Married,Close,123800,2,NA,18,3537,0,1,1,1,0,1,0,0
Old,Female,Rent,Single,Far,11700,0,Low,18,540,1,0,0,0,0,0,0,0
Middle,Male,Own,Married,Close,101700,1,NA,6,941,0,1,1,1,0,1,0,0
Middle,Female,Own,Married,Far,99200,0,High,24,5503,1,1,0,1,0,1,0,1
Young,Male,Rent,Single,Close,17600,0,NA,6,273,0,0,1,0,1,0,0,0
Young,Female,Rent,Single,Close,19400,1,NA,18,384,1,0,1,0,1,0,0,0
Middle,Male,Rent,Single,Far,40500,1,NA,18,1073,0,0,0,0,0,1,0,0
Old,Male,Own,Single,Close,44800,0,Medium,24,1417,0,0,1,1,0,0,1,0
Middle,Male,Own,Married,Close,79000,2,Medium,18,671,0,1,1,1,0,1,1,0
Young,Male,Rent,Married,Close,53600,1,Medium,24,973,0,1,1,0,1,0,1,0
